target_fraction,live_traversal_recall,overfetch_2x_recall,recall_gap,live_ms,overfetch_2x_ms,overfetch_over_live,predicate_ns,query_count_per_set,predicate_sets
0.50,0.983333,0.792347,-0.190987,2.226449,1.614914,0.725332,101.978,1000,3
0.20,0.982620,0.709807,-0.272813,4.579944,3.461888,0.755880,117.856,1000,3
0.10,0.979420,0.718040,-0.261380,6.790873,5.952829,0.876593,123.522,1000,3
0.05,0.975213,0.748213,-0.227000,9.820203,10.268986,1.045700,130.058,1000,3
0.02,0.977760,0.842040,-0.135720,14.568358,20.141889,1.382578,131.946,1000,3
