target_fraction,live_latency_ms,filtered_same_dot_ms,live_over_filtered_same_dot,live_minus_filtered_recall,live_recall,filtered_recall,live_program_overhead_ms,predicate_evals,approx_ns_per_predicate_eval,exact_id_parity
0.50,2.133533,5.004508,0.426322,0.0008,0.9816,0.9808,0.266289,2332.80,114.150017,1.0
0.20,4.902941,10.437436,0.469746,0.0036,0.9774,0.9738,0.771353,6814.74,113.188908,1.0
0.10,7.093859,14.366865,0.493765,0.0012,0.9730,0.9718,1.239584,11477.79,107.998504,1.0
0.05,10.184430,20.185425,0.504544,0.0028,0.9786,0.9758,2.033158,18786.24,108.225890,1.0
0.02,13.713639,26.392027,0.519613,0.0030,0.9828,0.9798,3.107600,28126.17,110.487833,1.0
